164	0	4	[ 32,  63,  94,  125,  ]
198	0	4	[ 32,  63,  94,  125,  ]
195	0	4	[ 32,  63,  94,  125,  ]
108	0	4	[ 32,  63,  94,  125,  ]
109	11	4	[ 32,  63,  94,  125,  ]
102	0	4	[ 32,  63,  94,  125,  ]
100	0	4	[ 32,  63,  94,  125,  ]
106	0	4	[ 32,  63,  94,  125,  ]
104	11	4	[ 32,  63,  94,  125,  ]
105	1480	4	[ 32,  63,  94,  125,  ]
89	1480	4	[ 32,  63,  94,  125,  ]
193	0	4	[ 32,  63,  94,  125,  ]
151	0	4	[ 32,  63,  94,  125,  ]
43	11	4	[ 32,  63,  94,  125,  ]
192	1480	4	[ 32,  63,  94,  125,  ]
99	1480	4	[ 32,  63,  94,  125,  ]
98	11	4	[ 32,  63,  94,  125,  ]
91	0	4	[ 32,  63,  94,  125,  ]
94	0	4	[ 32,  63,  94,  125,  ]
150	1480	4	[ 32,  63,  94,  125,  ]
153	0	4	[ 32,  63,  94,  125,  ]
142	0	4	[ 32,  63,  94,  125,  ]
132	11	4	[ 32,  63,  94,  125,  ]
130	0	4	[ 32,  63,  94,  125,  ]
137	0	4	[ 32,  63,  94,  125,  ]
135	0	4	[ 32,  63,  94,  125,  ]
134	1604	4	[ 32,  63,  94,  125,  ]
139	1604	4	[ 32,  63,  94,  125,  ]
25	14	5	[ 32,  63,  94,  126,  125,  ]
26	2018	5	[ 32,  63,  94,  126,  125,  ]
27	0	5	[ 32,  63,  94,  126,  125,  ]
29	0	5	[ 32,  63,  94,  126,  125,  ]
44	1604	4	[ 32,  63,  94,  125,  ]
146	0	4	[ 32,  63,  94,  125,  ]
83	1480	4	[ 32,  63,  94,  125,  ]
86	0	4	[ 32,  63,  94,  125,  ]
84	0	4	[ 32,  63,  94,  125,  ]
148	0	4	[ 32,  63,  94,  125,  ]
149	11	4	[ 32,  63,  94,  125,  ]
179	11	4	[ 32,  63,  94,  125,  ]
178	0	4	[ 32,  63,  94,  125,  ]
176	0	4	[ 32,  63,  94,  125,  ]
175	1480	4	[ 32,  63,  94,  125,  ]
174	11	4	[ 32,  63,  94,  125,  ]
173	0	4	[ 32,  63,  94,  125,  ]
171	0	4	[ 32,  63,  94,  125,  ]
170	1480	4	[ 32,  63,  94,  125,  ]
182	0	4	[ 32,  63,  94,  125,  ]
186	1480	4	[ 32,  63,  94,  125,  ]
189	0	4	[ 32,  63,  94,  125,  ]
197	1480	4	[ 32,  63,  94,  125,  ]
196	11	4	[ 32,  63,  94,  125,  ]
184	0	4	[ 32,  63,  94,  125,  ]
191	11	4	[ 32,  63,  94,  125,  ]
185	11	4	[ 32,  63,  94,  125,  ]
209	1480	4	[ 32,  63,  94,  125,  ]
208	11	4	[ 32,  63,  94,  125,  ]
77	0	4	[ 32,  63,  94,  125,  ]
76	1480	4	[ 32,  63,  94,  125,  ]
75	11	4	[ 32,  63,  94,  125,  ]
74	0	4	[ 32,  63,  94,  125,  ]
72	0	4	[ 32,  63,  94,  125,  ]
71	1480	4	[ 32,  63,  94,  125,  ]
70	11	4	[ 32,  63,  94,  125,  ]
79	0	4	[ 32,  63,  94,  125,  ]
215	11	4	[ 32,  63,  94,  125,  ]
120	11	4	[ 32,  63,  94,  125,  ]
121	1445	4	[ 32,  63,  94,  125,  ]
122	0	4	[ 32,  63,  94,  125,  ]
125	0	4	[ 32,  63,  94,  125,  ]
126	11	4	[ 32,  63,  94,  125,  ]
127	1604	4	[ 32,  63,  94,  125,  ]
128	0	4	[ 32,  63,  94,  125,  ]
3	0	124	[ 24,  25,  26,  27,  20,  21,  22,  23,  28,  29,  4,  8,  119,  120,  121,  122,  123,  124,  125,  118,  59,  58,  55,  54,  57,  56,  51,  50,  53,  52,  115,  114,  88,  89,  111,  110,  113,  112,  82,  83,  80,  81,  86,  87,  84,  85,  3,  7,  108,  109,  102,  103,  100,  101,  106,  107,  104,  105,  39,  38,  33,  32,  31,  30,  37,  36,  35,  34,  60,  61,  62,  63,  64,  65,  66,  67,  68,  69,  2,  6,  99,  98,  91,  90,  93,  92,  95,  94,  97,  96,  11,  10,  13,  12,  15,  14,  17,  16,  19,  18,  117,  116,  48,  49,  46,  47,  44,  45,  42,  43,  40,  41,  5,  9,  77,  76,  75,  74,  73,  72,  71,  70,  79,  78,  ]
203	1480	4	[ 32,  63,  94,  125,  ]
218	0	4	[ 32,  63,  94,  125,  ]
114	11	4	[ 32,  63,  94,  125,  ]
60	0	4	[ 32,  63,  94,  125,  ]
62	0	4	[ 32,  63,  94,  125,  ]
63	11	4	[ 32,  63,  94,  125,  ]
64	1604	4	[ 32,  63,  94,  125,  ]
65	0	4	[ 32,  63,  94,  125,  ]
67	0	4	[ 32,  63,  94,  125,  ]
157	1480	4	[ 32,  63,  94,  125,  ]
169	11	4	[ 32,  63,  94,  125,  ]
166	0	4	[ 32,  63,  94,  125,  ]
160	0	4	[ 32,  63,  94,  125,  ]
163	1480	4	[ 32,  63,  94,  125,  ]
156	11	4	[ 32,  63,  94,  125,  ]
216	1480	4	[ 32,  63,  94,  125,  ]
213	0	4	[ 32,  63,  94,  125,  ]
211	0	4	[ 32,  63,  94,  125,  ]
4	172	124	[ 24,  25,  26,  27,  20,  21,  22,  23,  28,  29,  4,  8,  119,  120,  121,  122,  123,  124,  125,  118,  59,  58,  55,  54,  57,  56,  51,  50,  53,  52,  115,  114,  88,  89,  111,  110,  113,  112,  82,  83,  80,  81,  86,  87,  84,  85,  3,  7,  108,  109,  102,  103,  100,  101,  106,  107,  104,  105,  39,  38,  33,  32,  31,  30,  37,  36,  35,  34,  60,  61,  62,  63,  64,  65,  66,  67,  68,  69,  2,  6,  99,  98,  91,  90,  93,  92,  95,  94,  97,  96,  11,  10,  13,  12,  15,  14,  17,  16,  19,  18,  117,  116,  48,  49,  46,  47,  44,  45,  42,  43,  40,  41,  5,  9,  77,  76,  75,  74,  73,  72,  71,  70,  79,  78,  ]
59	1480	4	[ 32,  63,  94,  125,  ]
58	11	4	[ 32,  63,  94,  125,  ]
55	0	4	[ 32,  63,  94,  125,  ]
54	1604	4	[ 32,  63,  94,  125,  ]
57	0	4	[ 32,  63,  94,  125,  ]
50	0	4	[ 32,  63,  94,  125,  ]
53	11	4	[ 32,  63,  94,  125,  ]
52	0	4	[ 32,  63,  94,  125,  ]
201	11	4	[ 32,  63,  94,  125,  ]
200	0	4	[ 32,  63,  94,  125,  ]
115	1604	4	[ 32,  63,  94,  125,  ]
111	0	4	[ 32,  63,  94,  125,  ]
110	1604	4	[ 32,  63,  94,  125,  ]
113	0	4	[ 32,  63,  94,  125,  ]
118	0	4	[ 32,  63,  94,  125,  ]
204	0	4	[ 32,  63,  94,  125,  ]
206	0	4	[ 32,  63,  94,  125,  ]
181	1480	4	[ 32,  63,  94,  125,  ]
138	11	4	[ 32,  63,  94,  125,  ]
144	11	4	[ 32,  63,  94,  125,  ]
145	1604	4	[ 32,  63,  94,  125,  ]
162	11	4	[ 32,  63,  94,  125,  ]
220	0	4	[ 32,  63,  94,  125,  ]
116	0	4	[ 32,  63,  94,  125,  ]
88	11	4	[ 32,  63,  94,  125,  ]
140	0	4	[ 32,  63,  94,  125,  ]
158	0	4	[ 32,  63,  94,  125,  ]
81	11	4	[ 32,  63,  94,  125,  ]
48	11	4	[ 32,  63,  94,  125,  ]
49	1480	4	[ 32,  63,  94,  125,  ]
47	0	4	[ 32,  63,  94,  125,  ]
45	0	4	[ 32,  63,  94,  125,  ]
187	0	4	[ 32,  63,  94,  125,  ]
48015/59672559=0.000805
