0	0
10000	944
20000	1007
30000	1007
40000	1013
50000	1013
60000	1034
70000	1046
80000	1046
90000	1051
100000	1079
110000	1159
120000	1160
130000	1162
140000	1164
150000	1169
160000	1238
170000	1301
180000	1301
190000	1310
200000	1311
210000	1311
220000	1311
230000	1311
240000	1311
250000	1311
260000	1311
270000	1311
280000	1311
290000	1311
300000	1311
310000	1311
320000	1311
330000	1311
340000	1311
350000	1311
360000	1311
370000	1313
380000	1313
390000	1313
400000	1313
410000	1313
420000	1313
430000	1313
440000	1313
450000	1313
460000	1313
470000	1313
480000	1313
490000	1313
500000	1313
510000	1313
520000	1313
530000	1313
540000	1313
550000	1313
560000	1313
570000	1313
580000	1313
590000	1313
600000	1313
610000	1313
620000	1330
630000	1336
640000	1342
650000	1342
660000	1342
670000	1343
680000	1343
690000	1343
700000	1343
710000	1343
720000	1343
730000	1343
740000	1343
750000	1343
760000	1343
770000	1343
780000	1343
790000	1343
800000	1343
810000	1343
820000	1344
